PK_ID_ALUNO,FK_ID_TURMA,NOME_ALUNO,SOBRENOME_ALUNO,CPF,DATA_NASCIMENTO,GÊNERO,ENDEREÇO,CIDADE,ESTADO,NÚMERO,LOGIN_PORTAL,EMAIL,FK_ID_MEIO_DE_PAGAMENTO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,15,LUCAS,BATISTA FERNANDES,85423963257,'03/07/1998',M," RUA ITU, 1.120",GOIÂNIA,GO,(75) 9 6635-6823,LUCAS.BATISTA.FERNANDES,LUCAS.BATISTA.FERNANDES@GMAIL.COM,2,,(,11,",",15,",",'LUCAS',",",'BATISTA FERNANDES',",",'85423963257',",",'03/07/1998',",",'M',",","' RUA ITU, 1.120'",",",'GOIÂNIA',",",'GO',",",'(75) 9 6635-6823',",",'LUCAS.BATISTA.FERNANDES',",",'LUCAS.BATISTA.FERNANDES@GMAIL.COM',",",2,),","
12,15,LUCAS,LINHARES ,85423563257,'04/07/1998',NB,"RUA PEDRO COLINO, Nº 271",ARACAJU,SE,(54) 9 7578-3076,LUCAS.LINHARES,LUCAS.LINHARES@GMAIL.COM,3,,(,12,",",15,",",'LUCAS',",",'LINHARES ',",",'85423563257',",",'04/07/1998',",",'NB',",","'RUA PEDRO COLINO, Nº 271'",",",'ARACAJU',",",'SE',",",'(54) 9 7578-3076',",",'LUCAS.LINHARES',",",'LUCAS.LINHARES@GMAIL.COM',",",3,),","
13,3,PEDRO,FERREIRA,85415967777,'05/07/1998',M,RUA CRUZ E SOUZA,MACEIÓ,AL,(66) 9 9425-2919,PEDRO.FERREIRA,PEDRO.FERREIRA@GMAIL.COM,3,,(,13,",",3,",",'PEDRO',",",'FERREIRA',",",'85415967777',",",'05/07/1998',",",'M',",",'RUA CRUZ E SOUZA',",",'MACEIÓ',",",'AL',",",'(66) 9 9425-2919',",",'PEDRO.FERREIRA',",",'PEDRO.FERREIRA@GMAIL.COM',",",3,),","
14,2,JOÃO,SOUZA,85434223257,'06/07/1998',F,"RUA ROBERTO MICHELLIN, 95",SOROCABA,SP,(63) 9 7346-9294,JOÃO.SOUZA,JOÃO.SOUZA@GMAIL.COM,2,,(,14,",",2,",",'JOÃO',",",'SOUZA',",",'85434223257',",",'06/07/1998',",",'F',",","'RUA ROBERTO MICHELLIN, 95'",",",'SOROCABA',",",'SP',",",'(63) 9 7346-9294',",",'JOÃO.SOUZA',",",'JOÃO.SOUZA@GMAIL.COM',",",2,),","
15,3,FERNANDA,DE SOUZA,65415963257,'07/07/1998',NB,RUA GENOVEVA ONOFRE BARBAN,SÃO GONÇALO,RJ,(31) 9 6151-9154,FERNANDA.DE.SOUZA,FERNANDA.DE.SOUZA@GMAIL.COM,3,,(,15,",",3,",",'FERNANDA',",",'DE SOUZA',",",'65415963257',",",'07/07/1998',",",'NB',",",'RUA GENOVEVA ONOFRE BARBAN',",",'SÃO GONÇALO',",",'RJ',",",'(31) 9 6151-9154',",",'FERNANDA.DE.SOUZA',",",'FERNANDA.DE.SOUZA@GMAIL.COM',",",3,),","
16,2,PEDRO HENRIQUE,NEVES,85415456757,'08/07/1998',M,"AV. CAVALHEIRO PASCHOAL INNECCHI, 500",RECIFE,PE,(11) 9 8272-2759,PEDRO HENRIQUE.NEVES,PEDRO HENRIQUE.NEVES@GMAIL.COM,3,,(,16,",",2,",",'PEDRO HENRIQUE',",",'NEVES',",",'85415456757',",",'08/07/1998',",",'M',",","'AV. CAVALHEIRO PASCHOAL INNECCHI, 500'",",",'RECIFE',",",'PE',",",'(11) 9 8272-2759',",",'PEDRO HENRIQUE.NEVES',",",'PEDRO HENRIQUE.NEVES@GMAIL.COM',",",3,),","
17,5,CARLOS,LIMA,85415963468,'09/07/1998',M,ESTRADA PARA REPRESA DE GERICINÓ,PORTO ALEGRE,RS,(48) 9 8777-4105,CARLOS.LIMA,CARLOS.LIMA@GMAIL.COM,1,,(,17,",",5,",",'CARLOS',",",'LIMA',",",'85415963468',",",'09/07/1998',",",'M',",",'ESTRADA PARA REPRESA DE GERICINÓ',",",'PORTO ALEGRE',",",'RS',",",'(48) 9 8777-4105',",",'CARLOS.LIMA',",",'CARLOS.LIMA@GMAIL.COM',",",1,),","
18,6,ANANDA,DE LIMA,12345963257,'10/07/1998',F,VICINAL DA RJ-116 PARA SÃO MARTINHO,PORTO VELHO,RR,(86) 9 6834-2354,ANANDA.DE LIMA,ANANDA.DE LIMA@GMAIL.COM,2,,(,18,",",6,",",'ANANDA',",",'DE LIMA',",",'12345963257',",",'10/07/1998',",",'F',",",'VICINAL DA RJ-116 PARA SÃO MARTINHO',",",'PORTO VELHO',",",'RR',",",'(86) 9 6834-2354',",",'ANANDA.DE LIMA',",",'ANANDA.DE LIMA@GMAIL.COM',",",2,),","
19,6,HEITOR,SANTOS,58159632572,'11/07/1998',M,"RUA SETE DE SETEMBRO, 155",JOÃO PESSOA,PB,(87) 9 9843-5140,HEITOR.SANTOS,HEITOR.SANTOS@GMAIL.COM,3,,(,19,",",6,",",'HEITOR',",",'SANTOS',",",'58159632572',",",'11/07/1998',",",'M',",","'RUA SETE DE SETEMBRO, 155'",",",'JOÃO PESSOA',",",'PB',",",'(87) 9 9843-5140',",",'HEITOR.SANTOS',",",'HEITOR.SANTOS@GMAIL.COM',",",3,),","
20,7,ANDREA,DOS SANTOS,85415964983,'12/07/1998',F,"TRAVESSA PADRE MENDONÇA, 14 FNS",BRASILIA,DF,(12) 9 9843-5140,ANDREA.DOS.SANTOS,ANDREA.DOS.SANTOS@GMAIL.COM,3,,(,20,",",7,",",'ANDREA',",",'DOS SANTOS',",",'85415964983',",",'12/07/1998',",",'F',",","'TRAVESSA PADRE MENDONÇA, 14 FNS'",",",'BRASILIA',",",'DF',",",'(12) 9 9843-5140',",",'ANDREA.DOS.SANTOS',",",'ANDREA.DOS.SANTOS@GMAIL.COM',",",3,),","
21,8,KANANDA,ALMEIDA,85415963126,'13/07/1998',F,"RUA GONÇALVES DIAS, SEM NÚMERO",RIO DE JANEIRO,RJ,(62) 9 6685-6009,KANANDA.ALMEIDA,KANANDA.ALMEIDA@GMAIL.COM,3,,(,21,",",8,",",'KANANDA',",",'ALMEIDA',",",'85415963126',",",'13/07/1998',",",'F',",","'RUA GONÇALVES DIAS, SEM NÚMERO'",",",'RIO DE JANEIRO',",",'RJ',",",'(62) 9 6685-6009',",",'KANANDA.ALMEIDA',",",'KANANDA.ALMEIDA@GMAIL.COM',",",3,),","
22,9,LUIZA,ARAUJO,85415969637,'14/07/1998',F,"ESTRADA MUNICIPAL MSS-352, KM 2",RIO DE JANEIRO,RJ,(62) 9 8505-8506,LUIZA.ARAUJO,LUIZA.ARAUJO@GMAIL.COM,1,,(,22,",",9,",",'LUIZA',",",'ARAUJO',",",'85415969637',",",'14/07/1998',",",'F',",","'ESTRADA MUNICIPAL MSS-352, KM 2'",",",'RIO DE JANEIRO',",",'RJ',",",'(62) 9 8505-8506',",",'LUIZA.ARAUJO',",",'LUIZA.ARAUJO@GMAIL.COM',",",1,),","
23,10,LUISA,BARROS,85876963257,'15/07/1998',F,"AVENIDA CAPITÃO MANOEL RUDGE, 777 FUNDOS",RIO DE JANEIRO,RJ,(31) 9 7978-8978,LUISA.BARROS,LUISA.BARROS@GMAIL.COM,3,,(,23,",",10,",",'LUISA',",",'BARROS',",",'85876963257',",",'15/07/1998',",",'F',",","'AVENIDA CAPITÃO MANOEL RUDGE, 777 FUNDOS'",",",'RIO DE JANEIRO',",",'RJ',",",'(31) 9 7978-8978',",",'LUISA.BARROS',",",'LUISA.BARROS@GMAIL.COM',",",3,),","
24,11,PAULO,ALMEIDA,85415963212,'16/07/1998',M,"ALAMEDA BOA VISTA, 182 A",FLORIANÓPOLIS,SC,(61) 9 7254-5463,PAULO.ALMEIDA,PAULO.ALMEIDA@GMAIL.COM,3,,(,24,",",11,",",'PAULO',",",'ALMEIDA',",",'85415963212',",",'16/07/1998',",",'M',",","'ALAMEDA BOA VISTA, 182 A'",",",'FLORIANÓPOLIS',",",'SC',",",'(61) 9 7254-5463',",",'PAULO.ALMEIDA',",",'PAULO.ALMEIDA@GMAIL.COM',",",3,),","
25,13,PAULA,PINTO,85476533257,'17/07/1998',F,"RUA MARQUES DO VALE, 153",SÃO PAULO,SP,(87) 9 8845-6824,PAULA.PINTO,PAULA.PINTO@GMAIL.COM,1,,(,25,",",13,",",'PAULA',",",'PINTO',",",'85476533257',",",'17/07/1998',",",'F',",","'RUA MARQUES DO VALE, 153'",",",'SÃO PAULO',",",'SP',",",'(87) 9 8845-6824',",",'PAULA.PINTO',",",'PAULA.PINTO@GMAIL.COM',",",1,),","
26,14,RAVI,GONCALVES,85415961324,'18/07/1998',M,"RUA CARLOS VASSALO, 370",BELO HORIZONTE,MG,(28) 9 9419-1895,RAVI.GONCALVES,RAVI.GONCALVES@GMAIL.COM,3,,(,26,",",14,",",'RAVI',",",'GONCALVES',",",'85415961324',",",'18/07/1998',",",'M',",","'RUA CARLOS VASSALO, 370'",",",'BELO HORIZONTE',",",'MG',",",'(28) 9 9419-1895',",",'RAVI.GONCALVES',",",'RAVI.GONCALVES@GMAIL.COM',",",3,),","
27,15,REBECA,CASTRO,52815963257,'19/07/1998',F,"RUA SUELI LAZARO BERNARDINO, 121",SALVADOR,BA,(68) 9 9848-9651,REBECA.CASTRO,REBECA.CASTRO@GMAIL.COM,2,,(,27,",",15,",",'REBECA',",",'CASTRO',",",'52815963257',",",'19/07/1998',",",'F',",","'RUA SUELI LAZARO BERNARDINO, 121'",",",'SALVADOR',",",'BA',",",'(68) 9 9848-9651',",",'REBECA.CASTRO',",",'REBECA.CASTRO@GMAIL.COM',",",2,),","
28,15,STEFANI,FERNANDES SOUZA,80905963257,'20/07/1998',F,"RUA AFONSO GEREMIAS, 295",CANDEIAS,PE,(61) 9 6481-2064,STEFANI.FERNANDES.SOUZA,STEFANI.FERNANDES.SOUZA@GMAIL.COM,3,,(,28,",",15,",",'STEFANI',",",'FERNANDES SOUZA',",",'80905963257',",",'20/07/1998',",",'F',",","'RUA AFONSO GEREMIAS, 295'",",",'CANDEIAS',",",'PE',",",'(61) 9 6481-2064',",",'STEFANI.FERNANDES.SOUZA',",",'STEFANI.FERNANDES.SOUZA@GMAIL.COM',",",3,),","
29,15,JOÃO CARLOS,ALMEIDA LIMA,85415113257,'21/07/1998',M,"RUA JOSÉ PALAMONE LEPRE, 791",LAURO DE FREITAS,BA,(83) 9 7351-2365,JOÃOCARLOS.ALMEIDA.LIMA,JOÃOCARLOS.ALMEIDA.LIMA@GMAIL.COM,2,,(,29,",",15,",",'JOÃO CARLOS',",",'ALMEIDA LIMA',",",'85415113257',",",'21/07/1998',",",'M',",","'RUA JOSÉ PALAMONE LEPRE, 791'",",",'LAURO DE FREITAS',",",'BA',",",'(83) 9 7351-2365',",",'JOÃOCARLOS.ALMEIDA.LIMA',",",'JOÃOCARLOS.ALMEIDA.LIMA@GMAIL.COM',",",2,),","
30,14,JOÃO PEDRO,DIAS,14215963257,'22/07/1998',M,"AVENIDA ALFEU GONÇALVES BELCHIOR, 75",BELÉM,PA,(63) 9 7258-4181,JOÃO.PEDRO.DIAS,JOÃO.PEDRO.DIAS@GMAIL.COM,3,,(,30,",",14,",",'JOÃO PEDRO',",",'DIAS',",",'14215963257',",",'22/07/1998',",",'M',",","'AVENIDA ALFEU GONÇALVES BELCHIOR, 75'",",",'BELÉM',",",'PA',",",'(63) 9 7258-4181',",",'JOÃO.PEDRO.DIAS',",",'JOÃO.PEDRO.DIAS@GMAIL.COM',",",3,),","
31,9,JOÃO,BARBOSA,85415967755,'23/07/1998',T,"AVENIDA LOURENCO BATISTELLA, 325",PARAGOMINAS,PA,(96) 9 8245-3933,JOÃO.BARBOSA,JOÃO.BARBOSA@GMAIL.COM,2,,(,31,",",9,",",'JOÃO',",",'BARBOSA',",",'85415967755',",",'23/07/1998',",",'T',",","'AVENIDA LOURENCO BATISTELLA, 325'",",",'PARAGOMINAS',",",'PA',",",'(96) 9 8245-3933',",",'JOÃO.BARBOSA',",",'JOÃO.BARBOSA@GMAIL.COM',",",2,),","
32,7,JOÃO CARLOS,MELO,85415969947,'24/07/1998',M,"RUA CORONEL FRANCISCO RODRIGUÊS,, 270A",PETROLINA,PE,(69) 9 8573-5584,JOÃO.CARLOS.MELO,JOÃO.CARLOS.MELO@GMAIL.COM,3,,(,32,",",7,",",'JOÃO CARLOS',",",'MELO',",",'85415969947',",",'24/07/1998',",",'M',",","'RUA CORONEL FRANCISCO RODRIGUÊS,, 270A'",",",'PETROLINA',",",'PE',",",'(69) 9 8573-5584',",",'JOÃO.CARLOS.MELO',",",'JOÃO.CARLOS.MELO@GMAIL.COM',",",3,),","
33,7,ANA CAROLINA,RIBEIRO,85444463257,'25/07/1998',F,"RUA NOSSA SENHORA DAS DORES, 629",SOBRAL,CE,(96) 9 8966-2436,ANA.CAROLINA.RIBEIRO,ANA.CAROLINA.RIBEIRO@GMAIL.COM,1,,(,33,",",7,",",'ANA CAROLINA',",",'RIBEIRO',",",'85444463257',",",'25/07/1998',",",'F',",","'RUA NOSSA SENHORA DAS DORES, 629'",",",'SOBRAL',",",'CE',",",'(96) 9 8966-2436',",",'ANA.CAROLINA.RIBEIRO',",",'ANA.CAROLINA.RIBEIRO@GMAIL.COM',",",1,),","
34,8,ANA MARIA,CASTRO,32115963276,'26/07/1998',F,"RUA JULIO BATISTA, 41",TERESINA,PI,(62) 9 8555-1386,ANA.MARIA.CASTRO,ANA.MARIA.CASTRO@GMAIL.COM,1,,(,34,",",8,",",'ANA MARIA',",",'CASTRO',",",'32115963276',",",'26/07/1998',",",'F',",","'RUA JULIO BATISTA, 41'",",",'TERESINA',",",'PI',",",'(62) 9 8555-1386',",",'ANA.MARIA.CASTRO',",",'ANA.MARIA.CASTRO@GMAIL.COM',",",1,),","
35,8,ANA CARLA,CORREIA,34515963234,'27/07/1998',F,"RUA ARMANDO COLANGELO, 1584",ANÁPOLIS,GO,(71) 9 8184-7526,ANA.CARLA.CORREIA,ANA.CARLA.CORREIA@GMAIL.COM,1,,(,35,",",8,",",'ANA CARLA',",",'CORREIA',",",'34515963234',",",'27/07/1998',",",'F',",","'RUA ARMANDO COLANGELO, 1584'",",",'ANÁPOLIS',",",'GO',",",'(71) 9 8184-7526',",",'ANA.CARLA.CORREIA',",",'ANA.CARLA.CORREIA@GMAIL.COM',",",1,),","
36,8,MARIA,COSTA,38615963257,'28/07/1998',F,"AVENIDA PREFEITO JOAQUIM A. GUIMARAES, 1610",RIO DE JANEIRO,RJ,(66) 9 9272-1093,MARIA.COSTA,MARIA.COSTA@GMAIL.COM,1,,(,36,",",8,",",'MARIA',",",'COSTA',",",'38615963257',",",'28/07/1998',",",'F',",","'AVENIDA PREFEITO JOAQUIM A. GUIMARAES, 1610'",",",'RIO DE JANEIRO',",",'RJ',",",'(66) 9 9272-1093',",",'MARIA.COSTA',",",'MARIA.COSTA@GMAIL.COM',",",1,),","
37,6,MARIA CAROLINA,CASTRO SILVA,46915963257,'29/07/1998',F,"AVENIDA DA SAUDADE, 54",SÃO PAULO,SP,(85) 9 6266-4583,MARIA.CAROLINA.CASTRO SILVA,MARIA.CAROLINA.CASTRO SILVA@GMAIL.COM,3,,(,37,",",6,",",'MARIA CAROLINA',",",'CASTRO SILVA',",",'46915963257',",",'29/07/1998',",",'F',",","'AVENIDA DA SAUDADE, 54'",",",'SÃO PAULO',",",'SP',",",'(85) 9 6266-4583',",",'MARIA.CAROLINA.CASTRO SILVA',",",'MARIA.CAROLINA.CASTRO SILVA@GMAIL.COM',",",3,),","
38,5,IGOR,ARAUJO COSTA,85415968927,'30/07/1998',M,"RUA TODOS OS SANTOS, 220",SÃO PAULO,SP,(15) 9 8407-4757,IGOR.ARAUJO.COSTA,IGOR.ARAUJO.COSTA@GMAIL.COM,3,,(,38,",",5,",",'IGOR',",",'ARAUJO COSTA',",",'85415968927',",",'30/07/1998',",",'M',",","'RUA TODOS OS SANTOS, 220'",",",'SÃO PAULO',",",'SP',",",'(15) 9 8407-4757',",",'IGOR.ARAUJO.COSTA',",",'IGOR.ARAUJO.COSTA@GMAIL.COM',",",3,),","
39,1,HIGOR,ALMEIDA FERNANDES,85415966537,'31/07/1998',T,"AVENIDA MARGINAL DIREITA, 1054",SÃO JOSÉ DO RIO PRETO,SP,(96) 9 6515-6436,HIGOR.ALMEIDA.FERNANDES,HIGOR.ALMEIDA.FERNANDES@GMAIL.COM,2,,(,39,",",1,",",'HIGOR',",",'ALMEIDA FERNANDES',",",'85415966537',",",'31/07/1998',",",'T',",","'AVENIDA MARGINAL DIREITA, 1054'",",",'SÃO JOSÉ DO RIO PRETO',",",'SP',",",'(96) 9 6515-6436',",",'HIGOR.ALMEIDA.FERNANDES',",",'HIGOR.ALMEIDA.FERNANDES@GMAIL.COM',",",2,),","
40,3,ANDRE,SAMPAIO,55159632534,'01/08/1998',M,"RUA JOÃO PAPIN, 793",BARREIRAS,BA,(32) 9 9315-1177,ANDRE.SAMPAIO,ANDRE.SAMPAIO@GMAIL.COM,3,,(,40,",",3,",",'ANDRE',",",'SAMPAIO',",",'55159632534',",",'01/08/1998',",",'M',",","'RUA JOÃO PAPIN, 793'",",",'BARREIRAS',",",'BA',",",'(32) 9 9315-1177',",",'ANDRE.SAMPAIO',",",'ANDRE.SAMPAIO@GMAIL.COM',",",3,),","
41,3,DANIEL ,SAMPAIO,85415969832,'02/08/1998',M,"AVENIDA PAULO DIOGO VALIM, 3",BRASÍLIA,DF,(43) 9 9843-2573,DANIEL.SAMPAIO,DANIEL.SAMPAIO@GMAIL.COM,1,,(,41,",",3,",",'DANIEL ',",",'SAMPAIO',",",'85415969832',",",'02/08/1998',",",'M',",","'AVENIDA PAULO DIOGO VALIM, 3'",",",'BRASÍLIA',",",'DF',",",'(43) 9 9843-2573',",",'DANIEL.SAMPAIO',",",'DANIEL.SAMPAIO@GMAIL.COM',",",1,),","
42,4,DANIELA,SAMPAIO,85415966758,'03/08/1998',F,"AVENIDA JULIANA MARIA DE LIMA, 100",BRASÍLIA,DF,(12) 9 7323-3544,DANIELA.SAMPAIO,DANIELA.SAMPAIO@GMAIL.COM,1,,(,42,",",4,",",'DANIELA',",",'SAMPAIO',",",'85415966758',",",'03/08/1998',",",'F',",","'AVENIDA JULIANA MARIA DE LIMA, 100'",",",'BRASÍLIA',",",'DF',",",'(12) 9 7323-3544',",",'DANIELA.SAMPAIO',",",'DANIELA.SAMPAIO@GMAIL.COM',",",1,),","
43,5,DANIELLE,CAMARGO,73215963257,'04/08/1998',F,"RUA DOUTOR JOSE DE MOURA RESENDE, 650",QUIXADÁ,CE,(85) 9 7134-6137,DANIELLE.CAMARGO,DANIELLE.CAMARGO@GMAIL.COM,1,,(,43,",",5,",",'DANIELLE',",",'CAMARGO',",",'73215963257',",",'04/08/1998',",",'F',",","'RUA DOUTOR JOSE DE MOURA RESENDE, 650'",",",'QUIXADÁ',",",'CE',",",'(85) 9 7134-6137',",",'DANIELLE.CAMARGO',",",'DANIELLE.CAMARGO@GMAIL.COM',",",1,),","
44,6,THAIS,CAMARGO,12415969257,'05/08/1998',F,"RRUA GOV. ADHEMAR DE BARROS, 50",PRESIDENTE DUTRA,SP,(98) 9 8194-0423,THAIS.CAMARGO,THAIS.CAMARGO@GMAIL.COM,1,,(,44,",",6,",",'THAIS',",",'CAMARGO',",",'12415969257',",",'05/08/1998',",",'F',",","'RRUA GOV. ADHEMAR DE BARROS, 50'",",",'PRESIDENTE DUTRA',",",'SP',",",'(98) 9 8194-0423',",",'THAIS.CAMARGO',",",'THAIS.CAMARGO@GMAIL.COM',",",1,),","
45,7,TATIANE,SILVA SOUZA,85415963292,'06/08/1998',F,"AV. JOSEFINA GIOVANA ROSSI, 1000",CAMPINAS,SP,(27) 9 8268-3637,TATIANE.SILVA.SOUZA,TATIANE.SILVA.SOUZA@GMAIL.COM,1,,(,45,",",7,",",'TATIANE',",",'SILVA SOUZA',",",'85415963292',",",'06/08/1998',",",'F',",","'AV. JOSEFINA GIOVANA ROSSI, 1000'",",",'CAMPINAS',",",'SP',",",'(27) 9 8268-3637',",",'TATIANE.SILVA.SOUZA',",",'TATIANE.SILVA.SOUZA@GMAIL.COM',",",1,),","
46,12,ISABELA,LIMA GONCALVES,85415963299,'07/08/1998',F,"RUA PEREIRA BARRETO, 289",PRESIDENTE DUTRA,SP,(48) 9 8258-2954,ISABELA.LIMA.GONCALVES,ISABELA.LIMA.GONCALVES@GMAIL.COM,3,,(,46,",",12,",",'ISABELA',",",'LIMA GONCALVES',",",'85415963299',",",'07/08/1998',",",'F',",","'RUA PEREIRA BARRETO, 289'",",",'PRESIDENTE DUTRA',",",'SP',",",'(48) 9 8258-2954',",",'ISABELA.LIMA.GONCALVES',",",'ISABELA.LIMA.GONCALVES@GMAIL.COM',",",3,),","
47,13,ISABEL,ROCHA GOMES,85417563257,'08/08/1998',F,"RUA DONA LUISA DE GUSMAO, 2200",MACAPÁ,AM,(54) 9 8782-2527,ISABEL.ROCHA.GOMES,ISABEL.ROCHA.GOMES@GMAIL.COM,3,,(,47,",",13,",",'ISABEL',",",'ROCHA GOMES',",",'85417563257',",",'08/08/1998',",",'F',",","'RUA DONA LUISA DE GUSMAO, 2200'",",",'MACAPÁ',",",'AM',",",'(54) 9 8782-2527',",",'ISABEL.ROCHA.GOMES',",",'ISABEL.ROCHA.GOMES@GMAIL.COM',",",3,),","
